;;;I;II;III;IV;V;VI;VII;VIII
01 фев 12;Ср;В;;;;;;;;
02 фев 12;Чт;В;;Лекция, Наумова Т.В., доц.,    1р;Лекция, Кузнецова Ю.Ю., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;;;
03 фев 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;;Лекция, Филонов П.В., доц.,    5-203;;;;
04 фев 12;Сб;В;;;;;;;;
05 фев 12;Вс;В;;;;;;;;
06 фев 12;Пн;Н;;;;;;;;
07 фев 12;Вт;Н;;;;;;;;
08 фев 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;Лекция, Рогожникова Н.Л., преп.,    2-102;;;;;
09 фев 12;Чт;Н;;Пр.Зан., Наумова Т.В., доц.,    302а;Лекция, Кузнецова Ю.Ю., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;;;
10 фев 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;;Лекция, Филонов П.В., доц.,    5-203;;;;
11 фев 12;Сб;Н;;;;;;;;
12 фев 12;Вс;Н;;;;;;;;
13 фев 12;Пн;В;Лекция, Наумова Т.В., доц.,    19р;Пр.Зан., Наумова Т.В., доц.,    302а;;;;;;
14 фев 12;Вт;В;;;;;;;;
15 фев 12;Ср;В;;Пр.Зан., Рогожникова Н.Л., преп.,    5-203;Лекция, Рогожникова Н.Л., преп.,    4-308;;;;;
16 фев 12;Чт;В;;;Лекция, Наумова Т.В., доц.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;;;
17 фев 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
18 фев 12;Сб;В;;;;;;;;
19 фев 12;Вс;В;;;;;;;;
20 фев 12;Пн;Н;;;;;;;;
21 фев 12;Вт;Н;Лекция, Коновалов В.М., доц.,    203в;Пр.Зан., Коновалов В.М., доц.,    203д;;;;;;
22 фев 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;Лекция, Рогожникова Н.Л., преп.,    2-102;;;;;
23 фев 12;Чт;Н;;;;;;;;
